inn,ogrn,region,region_taxcode,creation_date,dissolution_date,age,eligible,exemption_criteria,financial,filed,imputed,simplified,articulated,totals_adjustment,outlier,okved,okved_section,okpo,okopf,okogu,okfc,oktmo,lon,lat,geocoding_quality,line_1100,line_1110,line_1120,line_1130,line_1140,line_1150,line_1160,line_1170,line_1180,line_1190,line_1200,line_1210,line_1220,line_1230
,9047796688213,moscow city,7700,2004-09-15,,19.0,1.0,none,0.0,0.0,0.0,,,,0.0,46.21.14,G,,12300,,,,,,,,,,,,,,,,,,,,
0100000011,1210100002353,adygeya,0100,2021-10-27,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,56.10,I,58800768,12300,4210014,16,79701000001,40.1006395,44.6087241,house,203.0,,,,,203.0,,,,,4537.0,973.0,,3233.0
0100000036,1020100002394,adygeya,0100,1990-12-10,2023-04-04,33.0,1.0,none,0.0,0.0,0.0,,,,0.0,64.19,K,,12267,1500010,16,79701000001,40.0823258,44.6100595,street,,,,,,,,,,,,,,
0100000043,1210100002364,adygeya,0100,2021-10-29,,2.0,1.0,none,0.0,1.0,0.0,1.0,0.0,1.0,0.0,94.99,S,74969343,20200,4220003,53,79630159051,38.93862247425071,45.00296635,house,,,,,,,,,,,10.0,,,0.0
0100000068,1210100002375,adygeya,0100,2021-10-29,2024-12-24,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,68.32.20,L,74969604,12300,4210014,16,79701000001,40.070258843189976,44.6252664,house,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,93.0,0.0,328.0
0100000075,1210100002386,adygeya,0100,2021-11-03,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,0.0,0.0,96.09,S,53637594,20200,4220003,53,79630159051,38.94091285,44.989325199999996,house,,,,,,,,,,,,,,
0100000124,1210100002408,adygeya,0100,2021-11-08,,2.0,1.0,none,0.0,1.0,0.0,1.0,1.0,0.0,0.0,68.32,L,73442415,12300,4210014,16,79701000001,40.1016904,44.6064522,house,,,,,,,,,,,,,,
0100000131,1210100002419,adygeya,0100,2021-11-12,,2.0,1.0,none,0.0,0.0,0.0,,,,0.0,16.10,C,71348965,12300,4210014,16,79622455101,40.1740638,44.51915755,house,,,,,,,,,,,,,,
0100000149,1210100002420,adygeya,0100,2021-11-12,,2.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,46.44.20,G,93970926,12300,4210014,16,79701000001,40.133432209622626,44.59917245,house,,,,,,,,,,,202.0,50.0,,
0100000156,1210100002430,adygeya,0100,2021-11-12,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,68.20.20,L,93935901,12300,4210014,16,79633433111,39.1835494,44.866088,city,5315279.0,,,,,5100530.0,,,214749.0,,430882.0,1135.0,0.0,75490.0
0100000163,1210100002441,adygeya,0100,2021-11-15,2024-04-03,2.0,1.0,none,0.0,0.0,0.0,,,,0.0,94.99,S,93832213,20200,4220003,53,79701000001,40.09631284527729,44.6029133,house,,,,,,,,,,,,,,
0100000170,1210100002452,adygeya,0100,2021-11-15,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,41.20,F,93861150,12300,4210014,16,79701000001,40.08085765,44.6195356,house,,,,,,,,,,,9156.0,1082.0,3.0,436.0
0100000195,1210100002463,adygeya,0100,2021-11-15,2023-07-06,2.0,1.0,none,0.0,0.0,0.0,,,,0.0,01.13,A,,12300,4210014,16,79630159051,38.929743599999995,44.98567025,house,,,,,,,,,,,,,,
0100000205,1210100002474,adygeya,0100,2021-11-15,2023-07-06,2.0,1.0,none,0.0,0.0,0.0,,,,0.0,41.20,F,,12300,4210014,16,79630159051,38.945496250000005,44.9849215,house,,,,,,,,,,,,,,
0100000212,1210100002485,adygeya,0100,2021-11-15,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,46.90,G,93932682,12300,4210014,16,79618420101,39.6039648,45.1476517,street,5.0,,,,,,,,,5.0,304.0,292.0,,11.0
0100000220,1210100002496,adygeya,0100,2021-11-16,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,86.23,Q,48388700,12300,4210014,16,79701000141,39.9610117,44.6788402,house,150.0,,,,,,,,,150.0,261.0,191.0,,
0100000276,1210100002518,adygeya,0100,2021-11-18,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,68.20,L,53040873,12300,4210014,16,79701000001,40.0718181,44.6100728,house,,,,,,,,,,,80.0,,,
0100000283,1210100002529,adygeya,0100,2021-11-19,,2.0,1.0,none,0.0,0.0,0.0,,,,0.0,46.75.10,G,56984853,12300,4210014,16,79630157051,38.91292967298473,44.91978985,house,,,,,,,,,,,,,,
0100000290,1210100002530,adygeya,0100,2021-11-19,2023-07-06,2.0,1.0,none,0.0,0.0,0.0,,,,0.0,38.11,E,,12300,4210014,16,79630159051,38.9382841,44.9864341,city,,,,,,,,,,,,,,
0100000300,1210100002540,adygeya,0100,2021-11-19,2023-12-05,2.0,1.0,none,0.0,0.0,0.0,,,,0.0,68.32,L,,12300,4210014,16,79701000001,40.0808268,44.62684645,house,,,,,,,,,,,,,,
0100000318,1210100002562,adygeya,0100,2021-11-23,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,0.0,0.0,02.10.20,A,73174765,12300,4210014,16,79701000001,40.064298109635914,44.6093465,house,,,,,,,,,,,89.0,,,21.0
0100000325,1210100002551,adygeya,0100,2021-11-23,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,71.11,M,73176793,12300,4210014,16,79701000001,40.1063381,44.6056058,house,,,,,,,,,,,10.0,10.0,,
0100000332,1210100002595,adygeya,0100,2021-11-25,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,36,E,73222286,20100,4210014,16,79630420101,38.994718,44.9212862,city,,,,,,,,,,,91.0,0.0,0.0,0.0
0100000340,1210100002606,adygeya,0100,2021-11-26,,2.0,1.0,none,0.0,1.0,0.0,1.0,1.0,0.0,0.0,28.29,C,73220873,12300,4210014,16,79701000001,40.05847820415134,44.60831345,house,,,,,,,,,,,,,,
0100000357,1210100002617,adygeya,0100,2021-11-26,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,46.34.23,G,75734719,12300,4210014,16,79630415106,38.9159218447093,45.0157629,house,,,,,,,,,,,0.0,,,
0100000371,1210100002661,adygeya,0100,2021-12-07,2023-07-06,2.0,1.0,none,0.0,0.0,0.0,,,,0.0,93.19,R,,12300,4210014,16,79701000001,40.1062794,44.6033956,house,,,,,,,,,,,,,,
0100000389,1210100002672,adygeya,0100,2021-12-06,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,86.23,Q,50542858,12300,4210014,16,79701000001,40.07716004522484,44.61407525,house,,,,,,,,,,,8.0,,,5.0
0100000413,1210100002705,adygeya,0100,2021-12-10,,2.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,41.20,F,55589675,12300,4210014,16,79630415106,38.9331639,45.0247666,city,,,,,,,,,,,264.0,188.0,,68.0
0100000420,1210100002716,adygeya,0100,2021-12-13,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,16.10.10,C,55602571,12300,4210014,16,79701000001,40.10445994999999,44.612394949999995,house,11503.0,,,,,10503.0,,,,1000.0,1057.0,4.0,257.0,790.0
0100000438,1210100002727,adygeya,0100,2021-12-14,,2.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,25.62,C,55594593,12300,4210014,16,79630159051,38.95891496227385,44.9839533,house,11772.0,,,,,11772.0,,,,,3245.0,824.0,,2252.0
